title,singers,directors,lyricist,genre,album,download_link,poster,year
Do You Know What It Feels Like,,"['Rooshin Dalal', ' Kaizad Gherda']",,['New Age'],A Thursday,,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/38/18/24/381824db-19ec-00ab-84f9-48e9ca7a96a6/source/200x200.jpg,2022
Standoff,,"['Rooshin Dalal', ' Kaizad Gherda']",,"['Pop', ' Electronic']",A Thursday,,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/38/18/24/381824db-19ec-00ab-84f9-48e9ca7a96a6/source/200x200.jpg,2022
The Last Shot,,"['Rooshin Dalal', ' Kaizad Gherda']",,"['Pop', ' Electronic']",A Thursday,,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/38/18/24/381824db-19ec-00ab-84f9-48e9ca7a96a6/source/200x200.jpg,2022
Aaram De,['Ankit Tiwari'],['Ankit Tiwari'],['Sandeep Nath'],['Filmi'],Aaram De,https://www.youtube.com/watch?v=YABYuCTmbiI,https://is4-ssl.mzstatic.com/image/thumb/Music116/v4/98/5a/68/985a683a-cfe4-7c5b-ad27-e17f29bdd8fa/source/200x200.jpg,2022
All We Need Is Love,"['Shaan', ' Lopamudra']",['Sagar Dhote'],"['Aditya Kalway', ' Nikhil Chinchankar']",['Pop'],All We Need Is Love,https://www.youtube.com/watch?v=aZbQpEZAA0c,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/3d/ee/b6/3deeb6f7-683c-38d2-3888-c26f642552e3/5054197234583.jpg/200x200.jpg,2022
Duniya Tu Ban Gayi Hai Meri Duniya (Tu Jabse Life Mein Aayi Hai),['Abhay Jodhpurkar'],['Amit Trivedi'],['Shellee'],"['Filmi', ' Pop']",Almost Pyaar with DJ Mohabbat,https://www.youtube.com/watch?v=6mWGDeyo4qg,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/71/a9/3a/71a93a8f-4220-d741-db04-6c70e81d2f11/840214465413.png/200x200.jpg,2022
Hain Pyar Mein Doobe Do Dil Banjaare,['Nikhita Gandhi'],['Amit Trivedi'],['Shellee'],"['Filmi', ' Pop', ' Electronic']",Almost Pyaar with DJ Mohabbat,https://www.youtube.com/watch?v=718RNGASpQg,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/71/a9/3a/71a93a8f-4220-d741-db04-6c70e81d2f11/840214465413.png/200x200.jpg,2022
That's Like A Woman Desi,"['Arjun Kanungo', ' Bhoomi Trivedi', ' Aasa Singh']",['Amit Trivedi'],['Shellee'],"['Filmi', ' Pop']",Almost Pyaar with DJ Mohabbat,https://www.youtube.com/watch?v=7CbnNwKHCQ0,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/71/a9/3a/71a93a8f-4220-d741-db04-6c70e81d2f11/840214465413.png/200x200.jpg,2022
Yeh Tera Mera Tera Ghanghor Connection,['Abhijeet Srivastava'],['Amit Trivedi'],['Shellee'],"['Filmi', ' Pop']",Almost Pyaar with DJ Mohabbat,https://www.youtube.com/watch?v=xEz04WhIUCE,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/71/a9/3a/71a93a8f-4220-d741-db04-6c70e81d2f11/840214465413.png/200x200.jpg,2022
Netflix & Chill,"['Arjun Kanungo', ' Sharvi Yadav']",['Amit Trivedi'],['Shellee'],"['Filmi', ' Pop']",Almost Pyaar with DJ Mohabbat,https://www.youtube.com/watch?v=a6tIVEet8dA,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/71/a9/3a/71a93a8f-4220-d741-db04-6c70e81d2f11/840214465413.png/200x200.jpg,2022
